id;nome;logo;cidade
1;hard drive copying;Optimized Armenian Dram AGP;Licensed Cotton Bacon
2;programming Home Loan Account;internet solution;withdrawal extranet Won
3;Gorgeous Rubber Towels workforce;fault-tolerant;cross-media payment Connecticut
4;proactive Technician;Gold bypass;Rustic Profound
5;deposit Interactions;system Frozen Plastic;Steel Electronics
6;B2C Dynamic Massachusetts;National Ergonomic Auto Loan Account;B2B Fantastic Optimized
7;Health optical Creative;Shoal Berkshire;Legacy Berkshire
8;Forward;1080p Beauty;Metal
9;needs-based content;Lead customized Health;Small Frozen Pants
10;Optimization;Borders;Checking Account
